,altitude,longitude,latitude,srf_salt,srf_crust,bare_soil,crop_type
12571,2359,40.0025864,7.2245966,No,No,No,Cereals
12573,3087,39.9823136,6.8698981,No,No,No,Cereals
12574,3096,39.9824546,6.8722967,No,No,No,Cereals
12575,3086,39.9779021,6.8642979,No,No,No,Vegetables
12577,2734,40.2088404,6.9467435,No,No,No,Cereals
12580,1597,40.5971337,7.0609215,No,No,No,Cereals
12581,1622,40.5917464,7.0727576,No,No,No,Cereals
12586,1999,40.5731757,7.3499678,No,No,No,Cereals
12587,1987,40.5786564,7.3578906,No,No,No,Cereals
12588,2346,40.4475495,7.2966649,No,No,No,Cereals
12589,2325,40.4460468,7.2954331,No,No,No,Cereals
12590,2350,40.444469,7.3080398,No,No,No,Cereals
12591,2329,40.4434226,7.3076934,No,No,No,Pulses
12592,2002,40.5663565,7.3485211,No,No,No,Cereals
12593,1994,40.5673522,7.3575427,No,No,No,Cereals
12594,2365,40.1942586,7.2692193,No,No,No,Cereals
12596,3075,39.604219,7.1537431,No,No,No,Cereals
12597,3127,39.6076567,7.1547893,No,No,No,Cereals
12598,3139,39.604162,7.1559089,No,No,No,Cereals
12601,2354,40.1929492,7.2611099,No,No,No,Cereals
12603,1765,40.0964082,8.1415445,No,No,No,Cereals
12604,1710,40.0971126,8.1431725,No,No,No,Cereals
12605,1579,40.102322,8.1436186,No,No,No,Cereals
12606,1881,38.6517969,8.1419979,No,No,No,Cereals
12607,1911,38.6442002,8.1435351,No,No,No,Cereals
12608,1953,38.4274074,8.1654242,No,No,No,Cereals
12609,1969,38.4248655,8.1636112,No,No,No,Cereals
12610,1801,38.3653529,7.7134271,No,No,No,Cereals
12611,1802,38.3669927,7.7052393,No,No,No,Vegetables
12612,1648,38.5333962,7.7881092,No,Yes,No,Cereals
12613,1656,38.5296912,7.7839135,No,Yes,No,Cereals
12614,1799,38.3640704,7.7136653,No,No,No,Cereals
12615,1838,38.373091,7.7186635,No,No,No,Cereals
12616,1639,38.5358042,7.7788452,No,No,No,Cereals
12617,1645,38.5311755,7.7800952,No,No,No,Cereals
